precision,recall,f1-score,support,model,balance_method,accuracy,auc
0.9997694877277784,0.9999276092726227,0.9998485422486479,1270881.0,RandomForest,No balancing,0.9996974516787109,0.9962552113322255
0.9361997226074896,0.8216676810712112,0.8752025931928687,1643.0,RandomForest,No balancing,0.9996974516787109,0.9962552113322255
0.9996974516787109,0.9996974516787109,0.9996974516787109,0.9996974516787109,RandomForest,No balancing,0.9996974516787109,0.9962552113322255
0.967984605167634,0.910797645171917,0.9375255677207583,1272524.0,RandomForest,No balancing,0.9996974516787109,0.9962552113322255
0.9996874105928147,0.9996974516787109,0.999687607528125,1272524.0,RandomForest,No balancing,0.9996974516787109,0.9962552113322255
0.9991453737358489,0.9999472806659317,0.999546166364242,1270881.0,LogisticRegression,No balancing,0.9990931408759285,0.9707033534765956
0.8924558587479936,0.33840535605599514,0.4907325684024713,1643.0,LogisticRegression,No balancing,0.9990931408759285,0.9707033534765956
0.9990931408759285,0.9990931408759285,0.9990931408759285,0.9990931408759285,LogisticRegression,No balancing,0.9990931408759285,0.9707033534765956
0.9458006162419212,0.6691763183609635,0.7451393673833566,1272524.0,LogisticRegression,No balancing,0.9990931408759285,0.9707033534765956
0.9990076231919495,0.9990931408759285,0.9988892194292913,1272524.0,LogisticRegression,No balancing,0.9990931408759285,0.9707033534765956
0.9989183102165758,0.9911439387322653,0.995015938805729,1270881.0,GradientBoosting,No balancing,0.9900834876198799,0.727010961077071
0.024189353216577076,0.16981132075471697,0.04234651286332246,1643.0,GradientBoosting,No balancing,0.9900834876198799,0.727010961077071
0.9900834876198799,0.9900834876198799,0.9900834876198799,0.9900834876198799,GradientBoosting,No balancing,0.9900834876198799,0.727010961077071
0.5115538317165764,0.5804776297434912,0.5186812258345257,1272524.0,GradientBoosting,No balancing,0.9900834876198799,0.727010961077071
0.9976598037551253,0.9900834876198799,0.9937859141721478,1272524.0,GradientBoosting,No balancing,0.9900834876198799,0.727010961077071
0.999974016116307,0.9992949772638036,0.9996343813744663,1270881.0,RandomForest,SMOTE,0.9992699548299285,0.9988569122165303
0.6424581005586593,0.9799147900182593,0.7760906242468064,1643.0,RandomForest,SMOTE,0.9992699548299285,0.9988569122165303
0.9992699548299285,0.9992699548299285,0.9992699548299285,0.9992699548299285,RandomForest,SMOTE,0.9992699548299285,0.9988569122165303
0.8212160583374831,0.9896048836410314,0.8878625028106364,1272524.0,RandomForest,SMOTE,0.9992699548299285,0.9988569122165303
0.9995124148818617,0.9992699548299285,0.9993457562538707,1272524.0,RandomForest,SMOTE,0.9992699548299285,0.9988569122165303
0.9999118783788614,0.9464119772032157,0.9724266340685692,1270881.0,LogisticRegression,SMOTE,0.9463978675451308,0.9882690233868431
0.022070332131933774,0.9354838709677419,0.04312328152180012,1643.0,LogisticRegression,SMOTE,0.9463978675451308,0.9882690233868431
0.9463978675451308,0.9463978675451308,0.9463978675451308,0.9463978675451308,LogisticRegression,SMOTE,0.9463978675451308,0.9882690233868431
0.5109911052553976,0.9409479240854788,0.5077749577951847,1272524.0,LogisticRegression,SMOTE,0.9463978675451308,0.9882690233868431
0.9986493531451656,0.9463978675451308,0.9712267781851168,1272524.0,LogisticRegression,SMOTE,0.9463978675451308,0.9882690233868431
0.999991186554207,0.9820604761578778,0.9909447259082468,1270881.0,GradientBoosting,SMOTE,0.9820749942633695,0.9952607928275123
0.06680037657075028,0.9933049300060864,0.1251821738129938,1643.0,GradientBoosting,SMOTE,0.9820749942633695,0.9952607928275123
0.9820749942633695,0.9820749942633695,0.9820749942633695,0.9820749942633695,GradientBoosting,SMOTE,0.9820749942633695,0.9952607928275123
0.5333957815624787,0.9876827030819821,0.5580634498606203,1272524.0,GradientBoosting,SMOTE,0.9820749942633695,0.9952607928275123
0.9987863114392364,0.9820749942633695,0.9898269097624668,1272524.0,GradientBoosting,SMOTE,0.9820749942633695,0.9952607928275123
0.9998237512500678,0.999863087102569,0.9998434187894305,1270881.0,RandomForest,Oversampling,0.9996872357613688,0.9956647077134131
0.8907721280602636,0.8636640292148509,0.877008652657602,1643.0,RandomForest,Oversampling,0.9996872357613688,0.9956647077134131
0.9996872357613688,0.9996872357613688,0.9996872357613688,0.9996872357613688,RandomForest,Oversampling,0.9996872357613688,0.9956647077134131
0.9452979396551657,0.9317635581587099,0.9384260357235162,1272524.0,RandomForest,Oversampling,0.9996872357613688,0.9956647077134131
0.999682950906105,0.9996872357613688,0.9996848225501811,1272524.0,RandomForest,Oversampling,0.9996872357613688,0.9956647077134131
0.9998830827406742,0.9420929260882805,0.9701281322557265,1270881.0,LogisticRegression,Oversampling,0.9420576743542755,0.9856899746566986
0.0200143815915628,0.9147900182592819,0.03917173796895972,1643.0,LogisticRegression,Oversampling,0.9420576743542755,0.9856899746566986
0.9420576743542755,0.9420576743542755,0.9420576743542755,0.9420576743542755,LogisticRegression,Oversampling,0.9420576743542755,0.9856899746566986
0.5099487321661185,0.9284414721737813,0.5046499351123431,1272524.0,LogisticRegression,Oversampling,0.9420576743542755,0.9856899746566986
0.9986179401767712,0.9420576743542755,0.968926142072584,1272524.0,LogisticRegression,Oversampling,0.9420576743542755,0.9856899746566986
0.9999911825485,0.9816143289576286,0.9907175448606996,1270881.0,GradientBoosting,Oversampling,0.9816294230992892,0.9968141336844605
0.06528522281782542,0.9933049300060864,0.12251792350137007,1643.0,GradientBoosting,Oversampling,0.9816294230992892,0.9968141336844605
0.9816294230992892,0.9816294230992892,0.9816294230992892,0.9816294230992892,GradientBoosting,Oversampling,0.9816294230992892,0.9968141336844605
