precision,recall,f1-score,support,model,balance_method,accuracy,auc
0.5326382026831626,0.9874596294818575,0.5566177341810349,1272524.0,GradientBoosting,Oversampling,0.9816294230992892,0.9968141336844605
0.9987843511709876,0.9816294230992892,0.9895965821300216,1272524.0,GradientBoosting,Oversampling,0.9816294230992892,0.9968141336844605
0.9999960264637514,0.9901163051458004,0.9950316423415095,1270881.0,RandomForest,Undersampling,0.9901251371290444,0.9984806045686818
0.11536023663638284,0.996956786366403,0.20679207170811767,1643.0,RandomForest,Undersampling,0.9901251371290444,0.9984806045686818
0.9901251371290444,0.9901251371290444,0.9901251371290444,0.9901251371290444,RandomForest,Undersampling,0.9901251371290444,0.9984806045686818
0.5576781315500672,0.9935365457561016,0.6009118570248136,1272524.0,RandomForest,Undersampling,0.9901251371290444,0.9984806045686818
0.9988538424242469,0.9901251371290444,0.9940139188136621,1272524.0,RandomForest,Undersampling,0.9901251371290444,0.9984806045686818
0.9998477060406852,0.9350285353231341,0.9663523858936346,1270881.0,LogisticRegression,Undersampling,0.9349701852381566,0.9816083324752032
0.017397927004867135,0.8898356664637858,0.034128577431252624,1643.0,LogisticRegression,Undersampling,0.9349701852381566,0.9816083324752032
0.9349701852381566,0.9349701852381566,0.9349701852381566,0.9349701852381566,LogisticRegression,Undersampling,0.9349701852381566,0.9816083324752032
0.5086228165227762,0.9124321008934599,0.5002404816624436,1272524.0,LogisticRegression,Undersampling,0.9349701852381566,0.9816083324752032
0.9985792309573422,0.9349701852381566,0.9651487593079643,1272524.0,LogisticRegression,Undersampling,0.9349701852381566,0.9816083324752032
0.9999911649566842,0.9796597793184413,0.9897210685700636,1270881.0,GradientBoosting,Undersampling,0.9796773970471284,0.9966483858528908
0.05938432428498654,0.9933049300060864,0.112068669527897,1643.0,GradientBoosting,Undersampling,0.9796773970471284,0.9966483858528908
0.9796773970471284,0.9796773970471284,0.9796773970471284,0.9796773970471284,GradientBoosting,Undersampling,0.9796773970471284,0.9966483858528908
0.5296877446208353,0.9864823546622639,0.5508948690489803,1272524.0,GradientBoosting,Undersampling,0.9796773970471284,0.9966483858528908
0.9987767147465322,0.9796773970471284,0.9885879010293127,1272524.0,GradientBoosting,Undersampling,0.9796773970471284,0.9966483858528908
